Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP53","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","29.1084","15.3857","90","1.5mm circular SMD testpad"
"TP47","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","6.6040","9.3990","90","1.5mm circular SMD testpad"
"TP46","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","2.9210","15.7180","90","1.5mm circular SMD testpad"
"R91","1M0","TopLayer","RESC0603X03L_C","19.3040","18.7970","270","Resistor, ±1%, 0.05W"
"Q8","NX3020NAKV","TopLayer","NX3020NAKV","17.1132","18.4160","180","MOSFET 2N-CH 30V 0.2A SOT666"
"TP42","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","6.9850","25.1020","180","1.5mm circular SMD testpad"
"R92","1M0","TopLayer","RESC0603X03L_C","19.3040","17.2730","90","Resistor, ±1%, 0.05W"
"R98","10M","TopLayer","RESC0603X03L_C","3.6830","8.2560","180","Resistor, ±1%, 0.05W"
"R100","120k","TopLayer","RESC0603X03L_C","18.6290","8.1440","90","Resistor, ±1%, 0.05W"
"R95","150k","TopLayer","RESC0603X03L_C","17.7292","8.1290","270","Resistor, ±1%, 0.05W"
"R96","330k","TopLayer","RESC0603X03L_C","16.8910","8.1290","270","Resistor, ±1%, 0.05W"
"R25","100k","TopLayer","RESC0603X03L_C","28.5474","17.3040","0","Resistor, ±1%, 0.05W"
"C74","100nF","TopLayer","CAPC0603X03L_C","3.1750","11.1770","0","Capacitor, X5R, ±10%"
"C80","100nF","TopLayer","CAPC0603X03L_C","18.2880","12.5740","90","Capacitor, X5R, ±10%"
"R99","1k","TopLayer","RESC0603X03L_C","2.4130","9.5260","0","Resistor, ±1%, 0.05W"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.6138","19.8130","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Fid3","Fiducial mark","TopLayer","Fiducial","13.2080","2.7950","0","Fiducial Mark"
"R94","10M","TopLayer","RESC0603X03L_C","15.6249","15.3680","90","Resistor, ±1%, 0.05W"
"R102","10M","TopLayer","RESC0603X03L_C","23.9522","16.3576","180","Resistor, ±1%, 0.05W"
"SW8","Switch","TopLayer","JS102011JAQN","6.3500","5.3350","0","SMD slide Switch (ON-ON)"
"SW9","Switch","TopLayer","CJS-120xA","20.4419","3.6239","0","SMD slide Switch (ON-ON)"
"Q9","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","2.2860","8.5100","180","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"C73","100nF","TopLayer","CAPC0603X03L_C","13.8889","12.9427","180","Capacitor, X5R, ±10%"
"Q11","FCX690BTA","TopLayer","SOT89-150P409X160-3N","22.5482","11.0707","270","45V NPN high gain power transistor"
"U29","TS27L2IPT","TopLayer","TSOP65P640X120-8N","22.5482","13.9177","180","Precision very low power CMOS dual operational amplifier"
"U23","74LVC1G08","TopLayer","SOT65P210X100-5N","13.5518","14.7737","270","Single 2-Input AND Gate"
"R101","100k","TopLayer","RESC0603X03L_C","26.8478","15.7226","0","Resistor, ±1%, 0.05W"
"R89","820k","TopLayer","RESC0603X03L_C","13.6227","28.4240","90","Resistor, ±1%, 0.05W"
"C75","4.7µF","TopLayer","CAPC1005X04L","16.4363","27.2269","90","Capacitor, X5R, ±20%"
"R90","470k","TopLayer","RESC0603X03L_C","13.6227","27.3060","90","Resistor, ±1%, 0.05W"
"D10","NSR0620P2T5G","TopLayer","SODFL100X40-2N","15.3924","28.6014","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D11","NSR0620P2T5G","TopLayer","SODFL100X40-2N","24.5110","28.8300","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"SB40","Solderbridge","TopLayer","Solderbridge","25.7810","27.8140","0","Solderbridge"
"C76","100pF","TopLayer","CAPC0603X03L_C","19.3040","30.3540","0","Capacitor, NP0, ±2%, 25V"
"C77","10µF","TopLayer","CAPC1608X06L","19.3040","31.3700","0","Capacitor, X5R, ±20%, 25V"
